datetime,grid_id,value
2019-01-01T08:00:00Z,3A3IE,8.695
2019-01-01T08:00:00Z,3S31A,10.496666666666666
2019-01-01T08:00:00Z,7II4T,37.208333333333336
2019-01-01T08:00:00Z,8BOQH,9.791666666666666
2019-01-01T08:00:00Z,A2FBI,4.308333333333334
2019-01-01T08:00:00Z,A5WJI,19.74
2019-01-01T08:00:00Z,B5FKJ,2.4283333333333332
2019-01-01T08:00:00Z,C8HH7,5.091666666666667
2019-01-01T08:00:00Z,DJN0F,13.323478260869566
2019-01-01T08:00:00Z,E5P9N,3.3683333333333336
2019-01-01T08:00:00Z,FRITQ,55.56444444444444
2019-01-01T08:00:00Z,H96P6,4.23
2019-01-01T08:00:00Z,HUZ29,2.585
2019-01-01T08:00:00Z,I677K,1.2533333333333334
2019-01-01T08:00:00Z,IUON3,32.038333333333334
2019-01-01T08:00:00Z,JNUQF,22.638333333333335
2019-01-01T08:00:00Z,PG3MI,43.16166666666667
2019-01-01T08:00:00Z,QH45V,28.983333333333334
2019-01-01T08:00:00Z,QJHW4,9.731764705882354
2019-01-01T08:00:00Z,VBLD0,37.28666666666667
2019-01-01T08:00:00Z,VDUTN,7.911666666666666
2019-01-01T08:00:00Z,WT52R,2.9766666666666666
2019-01-01T08:00:00Z,X5DKW,9.086666666666666
2019-01-01T08:00:00Z,ZP1FZ,4.073333333333333
2019-01-01T08:00:00Z,ZZ8JF,5.875
2019-01-01T18:30:00Z,D7S1G,80.5
2019-01-02T08:00:00Z,3A3IE,19.37217391304348
2019-01-02T08:00:00Z,3S31A,50.68166666666667
2019-01-02T08:00:00Z,7II4T,58.044999999999995
2019-01-02T08:00:00Z,8BOQH,37.76347826086956
2019-01-02T08:00:00Z,A2FBI,15.723636363636365
2019-01-02T08:00:00Z,A5WJI,43.64869565217391
2019-01-02T08:00:00Z,B5FKJ,17.492173913043477
2019-01-02T08:00:00Z,C8HH7,20.598260869565216
2019-01-02T08:00:00Z,DJN0F,30.165454545454544
2019-01-02T08:00:00Z,E5P9N,18.227826086956522
2019-01-02T08:00:00Z,FRITQ,79.58666666666666
2019-01-02T08:00:00Z,H96P6,17.86
2019-01-02T08:00:00Z,HUZ29,27.85818181818182
2019-01-02T08:00:00Z,I677K,34.623333333333335
2019-01-02T08:00:00Z,IUON3,45.283478260869565
2019-01-02T08:00:00Z,JNUQF,54.19304347826087
2019-01-02T08:00:00Z,PG3MI,49.506666666666675
2019-01-02T08:00:00Z,QH45V,46.59130434782608
2019-01-02T08:00:00Z,QJHW4,13.92909090909091
2019-01-02T08:00:00Z,QWDU8,60.864999999999995
2019-01-02T08:00:00Z,VBLD0,51.443636363636365
2019-01-02T08:00:00Z,VDUTN,57.105
2019-01-02T08:00:00Z,WT52R,18.97904761904762
2019-01-02T08:00:00Z,X5DKW,57.96666666666667
2019-01-02T08:00:00Z,ZP1FZ,16.59304347826087
2019-01-02T08:00:00Z,ZZ8JF,19.348333333333333
2019-01-02T16:00:00Z,1X116,34.4275
2019-01-02T16:00:00Z,90BZ1,36.66
2019-01-02T16:00:00Z,9Q6TA,51.7
2019-01-02T16:00:00Z,KW43U,44.2975
2019-01-02T16:00:00Z,VR4WG,62.275
2019-01-02T16:00:00Z,XJF9O,47.0
2019-01-02T16:00:00Z,XNLVD,14.6405
2019-01-02T18:30:00Z,1Z2W7,23.86203125
2019-01-02T18:30:00Z,6EIL6,52.0015625
2019-01-02T18:30:00Z,7334C,68.77076923076923
2019-01-02T18:30:00Z,78V83,44.714285714285715
2019-01-02T18:30:00Z,8KNI6,52.96101694915254
2019-01-02T18:30:00Z,90S79,99.55192307692307
2019-01-02T18:30:00Z,A7UCQ,66.13091743119266
2019-01-02T18:30:00Z,AZJ0Z,58.43272727272728
2019-01-02T18:30:00Z,C7PGV,51.71147540983607
2019-01-02T18:30:00Z,CPR0W,73.75238805970149
2019-01-02T18:30:00Z,D72OT,88.42564102564103
2019-01-02T18:30:00Z,D7S1G,55.88421052631579
2019-01-02T18:30:00Z,E2AUK,24.244769230769233
2019-01-02T18:30:00Z,GAC6R,45.41343283582089
2019-01-02T18:30:00Z,GJLB2,22.663265306122447
2019-01-02T18:30:00Z,GVQXS,68.41846153846154
2019-01-02T18:30:00Z,HANW9,62.62615384615384
2019-01-02T18:30:00Z,HM74A,46.866176470588236
2019-01-02T18:30:00Z,IUMEZ,42.87571428571429
2019-01-02T18:30:00Z,KZ9W9,82.97107382550335
2019-01-02T18:30:00Z,NE7BV,38.47272727272727
2019-01-02T18:30:00Z,P8JA5,72.66817708333333
2019-01-02T18:30:00Z,PJNW1,35.86290909090909
2019-01-02T18:30:00Z,S77YN,44.56470588235294
2019-01-02T18:30:00Z,SZLMT,86.27258064516128
2019-01-02T18:30:00Z,UC74Z,70.4609375
2019-01-02T18:30:00Z,VXNN3,101.05416666666667
2019-01-02T18:30:00Z,VYH7U,45.491379310344826
2019-01-02T18:30:00Z,YHOPV,45.538333333333334
2019-01-02T18:30:00Z,ZF3ZW,57.015517241379314
2019-01-03T08:00:00Z,3A3IE,26.320000000000004
2019-01-03T08:00:00Z,3S31A,61.72666666666667
2019-01-03T08:00:00Z,7II4T,62.04
2019-01-03T08:00:00Z,8BOQH,39.87166666666667
2019-01-03T08:00:00Z,A2FBI,56.47833333333333
2019-01-03T08:00:00Z,A5WJI,58.593333333333334
2019-01-03T08:00:00Z,B5FKJ,51.778333333333336
2019-01-03T08:00:00Z,C8HH7,33.76166666666666
2019-01-03T08:00:00Z,DJN0F,47.156666666666666
2019-01-03T08:00:00Z,E5P9N,50.83833333333334
2019-01-03T08:00:00Z,FRITQ,116.56
2019-01-03T08:00:00Z,H96P6,52.734
2019-01-03T08:00:00Z,HUZ29,43.475
2019-01-03T08:00:00Z,I677K,59.925000000000004
2019-01-03T08:00:00Z,IUON3,52.63999999999999
