granule_id,time_start,time_end,product,location,split,us_url,eu_url,as_url,cksum,granule_size
20190101T213357_tropomi_la_0.nc,2019-01-01T20:35:33.000Z,2019-01-01 21:33:57+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190101T213357_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190101T213357_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190101T213357_tropomi_la_0.nc,1611277770,332149977
20190102T211456_tropomi_la_0.nc,2019-01-02T20:16:33.000Z,2019-01-02 21:14:56+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190102T211456_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190102T211456_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190102T211456_tropomi_la_0.nc,1146925070,334150299
20190103T205556_tropomi_la_0.nc,2019-01-03T19:57:33.000Z,2019-01-03 20:55:56+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190103T205556_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190103T205556_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190103T205556_tropomi_la_0.nc,165673661,334661071
20190104T203656_tropomi_la_0.nc,2019-01-04T19:38:33.000Z,2019-01-04 20:36:56+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190104T203656_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190104T203656_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190104T203656_tropomi_la_0.nc,2963951339,337713636
20190105T201756_tropomi_la_0.nc,2019-01-05T19:19:33.000Z,2019-01-05 20:17:56+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190105T201756_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190105T201756_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190105T201756_tropomi_la_0.nc,4029547159,333323724
20190105T215926_tropomi_la_0.nc,2019-01-05T21:01:03.000Z,2019-01-05 21:59:26+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190105T215926_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190105T215926_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190105T215926_tropomi_la_0.nc,1617517325,336190516
20190106T195856_tropomi_la_0.nc,2019-01-06T19:00:32.000Z,2019-01-06 19:58:56+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190106T195856_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190106T195856_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190106T195856_tropomi_la_0.nc,4285726339,333743228
20190106T214026_tropomi_la_0.nc,2019-01-06T20:42:03.000Z,2019-01-06 21:40:26+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190106T214026_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190106T214026_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190106T214026_tropomi_la_0.nc,1639888999,331782877
20190107T212126_tropomi_la_0.nc,2019-01-07T20:23:02.000Z,2019-01-07 21:21:26+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190107T212126_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190107T212126_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190107T212126_tropomi_la_0.nc,850496499,337667482
20190108T205620_tropomi_la_0.nc,2019-01-08T20:04:04.000Z,2019-01-08 20:56:20+00:00,tropomi,la,train,s3://drivendata-competition-airathon-public-us/no2/train/tropomi/2019/20190108T205620_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-eu/no2/train/tropomi/2019/20190108T205620_tropomi_la_0.nc,s3://drivendata-competition-airathon-public-as/no2/train/tropomi/2019/20190108T205620_tropomi_la_0.nc,4104232702,319806466
