"","vcd_no2","value","location","month","mid_lat_sc","mid_lon_sc"
"1",-0.161788551687141,38.171388957902,"Taipei","01",-1.74834843818857,1.28226362726975
"2",-0.161788551687141,44.0047393914298,"Taipei","01",-1.7360553989485,1.28226362726975
"3",-0.161788551687141,35.8838173894882,"Taipei","01",-1.7360553989485,1.28269648870494
"4",-0.161788551687141,41.2797551834131,"Taipei","01",-1.7360553989485,1.28312935014013
"5",-0.161788551687141,60.4240239406157,"Taipei","01",-1.72376643764342,1.28226362726975
"6",-0.161788551687141,48.5279996643453,"Taipei","01",-1.72376643764342,1.28269648870494
"7",-0.161788551687141,23.0057943955079,"Taipei","01",-1.71148155911577,1.28226362726975
"8",-1.34534436480885,22.6632653061224,"Delhi","01",-0.694437362756962,0.854364073852909
"9",-1.34534436480885,52.9610169491525,"Delhi","01",-0.694437362756962,0.85609551959368
"10",-1.34534436480885,51.7114754098361,"Delhi","01",-0.682516231797503,0.855229796723295
"11",-1.34534436480885,70.4609375,"Delhi","01",-0.682516231797503,0.85609551959368
"12",-1.34534436480885,44.7142857142857,"Delhi","01",-0.670599563054233,0.852632628112139
"13",-0.301030412054397,55.00078125,"Delhi","01",-0.670599563054233,0.853931212417717
"14",-1.34534436480885,68.7707692307692,"Delhi","01",-0.670599563054233,0.854364073852909
"15",-1.34534436480885,62.6261538461538,"Delhi","01",-0.670599563054233,0.855229796723295
"16",-1.34534436480885,72.6681770833333,"Delhi","01",-0.670599563054233,0.855662658158488
"17",-1.34534436480885,23.86203125,"Delhi","01",-0.670599563054233,0.85609551959368
"18",-1.34534436480885,24.2447692307692,"Delhi","01",-0.658687360505706,0.853498350982524
"19",-1.34534436480885,66.1309174311927,"Delhi","01",-0.658687360505706,0.855662658158488
"20",-1.34534436480885,82.9710738255034,"Delhi","01",-0.646779628120517,0.854796935288102
"21",-1.34534436480885,99.5519230769231,"Delhi","01",-0.646779628120517,0.855229796723295
"22",-1.34534436480885,42.8757142857143,"Delhi","01",-0.646779628120517,0.855662658158488
"23",-1.34534436480885,45.5383333333333,"Delhi","01",-0.646779628120517,0.85609551959368
"24",-1.34534436480885,57.0155172413793,"Delhi","01",-0.634876369857304,0.853931212417717
"25",-1.34534436480885,46.8661764705882,"Delhi","01",-0.634876369857304,0.854364073852909
"26",-1.34534436480885,86.2725806451613,"Delhi","01",-0.634876369857304,0.854796935288102
"27",-1.34534436480885,68.4184615384615,"Delhi","01",-0.634876369857304,0.855229796723295
"28",-1.34534436480885,73.7523880597015,"Delhi","01",-0.634876369857304,0.85609551959368
