grid_id,location,tz,max_lat,max_lon,min_lat,min_lon,mid_lat,mid_lon
1X116,Taipei,Asia/Taipei,25.0183693933433,121.525764447136,24.9776612302039,121.48084868293,24.9980153117736,121.503306565033
1Z2W7,Delhi,Asia/Calcutta,28.5860924310024,77.3045317841628,28.5466445421771,77.2596160199568,28.5663684865898,77.2820739020598
3A3IE,Los Angeles (SoCAB),Etc/GMT+8,34.1680306174393,-117.888909061494,34.1308594009102,-117.9338248257,34.1494450091748,-117.911366943597
3S31A,Los Angeles (SoCAB),Etc/GMT+8,33.8329016638163,-117.9338248257,33.7955835748851,-117.978740589905,33.8142426193507,-117.956282707803
6EIL6,Delhi,Asia/Calcutta,28.5860924310024,77.0799529631329,28.5466445421771,77.0350371989269,28.5663684865898,77.0574950810299
7334C,Delhi,Asia/Calcutta,28.5860924310024,77.1248687273388,28.5466445421771,77.0799529631329,28.5663684865898,77.1024108452359
78V83,Delhi,Asia/Calcutta,28.5860924310024,76.945205670515,28.5466445421771,76.900289906309,28.5663684865898,76.922747788412
7F1D1,Delhi,Asia/Calcutta,28.6255255259829,77.1248687273388,28.5860924310024,77.0799529631329,28.6058089784926,77.1024108452359
7II4T,Los Angeles (SoCAB),Etc/GMT+8,34.0192476651074,-118.023656354111,33.9820110861319,-118.068572118318,34.0006293756197,-118.046114236214
8BOQH,Los Angeles (SoCAB),Etc/GMT+8,34.0564679162507,-118.427898231965,34.0192476651074,-118.472813996171,34.037857790679,-118.450356114068
8KNI6,Delhi,Asia/Calcutta,28.507181872663,77.3045317841628,28.4677044356494,77.2596160199568,28.4874431541562,77.2820739020598
90BZ1,Taipei,Asia/Taipei,25.0590640627421,121.570680211342,25.0183693933433,121.525764447136,25.0387167280427,121.548222329239
90S79,Delhi,Asia/Calcutta,28.6649438139951,77.2147002557508,28.6255255259829,77.1697844915448,28.645234669989,77.1922423736478
9Q6TA,Taipei,Asia/Taipei,25.0997452223512,121.570680211342,25.0590640627421,121.525764447136,25.0794046425467,121.548222329239
A2FBI,Los Angeles (SoCAB),Etc/GMT+8,34.0192476651074,-117.394835655228,33.9820110861319,-117.439751419434,34.0006293756197,-117.417293537331
A5WJI,Los Angeles (SoCAB),Etc/GMT+8,33.9447581878963,-117.9338248257,33.9074889790035,-117.978740589905,33.9261235834499,-117.956282707803
A7UCQ,Delhi,Asia/Calcutta,28.6255255259829,77.2596160199568,28.5860924310024,77.2147002557508,28.6058089784926,77.2371581378538
AZJ0Z,Delhi,Asia/Calcutta,28.7437359167866,77.2596160199568,28.7043472819488,77.2147002557508,28.7240415993677,77.2371581378538
B5FKJ,Los Angeles (SoCAB),Etc/GMT+8,34.1308594009102,-117.48466718364,34.0936718310214,-117.529582947846,34.1122656159658,-117.507125065743
C7PGV,Delhi,Asia/Calcutta,28.5466445421771,77.2147002557508,28.507181872663,77.1697844915448,28.52691320742,77.1922423736478
